Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2019,2019-12-31,7,"1306,249574",1306249574,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2020,2020-12-31,8,"1209,021052",1209021052,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2021,2021-12-31,9,"1234,925948",1234925948,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2017,2017-12-31,5,"1466,889895",1466889895,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2018,2018-12-31,6,"1246,850049",1246850049,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2019,2019-12-31,7,"1309,192531",1309192531,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2020,2020-12-31,8,"1267,298475",1267298475,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2021,2021-12-31,9,"1193,79515",1193795150,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2017,2017-12-31,5,"1114,000003",1114000003,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2018,2018-12-31,6,"1169,899968",1169899968,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2019,2019-12-31,7,"1159,8001",1159800100,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2020,2020-12-31,8,"1162,000001",1162000001,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2021,2021-12-31,9,"1150,379981",1150379981,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2017,2017-12-31,5,"1013,664177",1013664177,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2018,2018-12-31,6,"1043,24071",1043240710,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2019,2019-12-31,7,"1096,147569",1096147569,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2020,2020-12-31,8,"1124,932192",1124932192,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2021,2021-12-31,9,"1146,067453",1146067453,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2017,2017-12-31,5,"1158,897097",1158897097,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2018,2018-12-31,6,"1148,548319",1148548319,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2019,2019-12-31,7,"1061,411451",1061411451,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2020,2020-12-31,8,"1058,234892",1058234892,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2021,2021-12-31,9,"1073,574964",1073574964,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Blue Ribbon Intermediate Holdings LLC,million litres,2018,2018-12-31,6,"1071,769067",1071769067,1,Beer,Beer
